canonical_name,abbreviation,csv_count,db_count,source,full_club_name,city,state_province,country,location_note,duplicate_note
Columbus Speedskating Club,COLSC,25,23,club_table,Columbus Speedskating Club,Columbus,OH,United States,,
Connecticut Speedskating,CSSC,34,14,club_table,Connecticut Speedskating,,CT,United States,Exact city/rink not verified.,Duplicate abbreviation appears for Connecticut Speedskating and USA-CSSC.
Southern California Speed Skating Club,SCSSC,16,30,club_table,Southern California Speed Skating Club,,CA,United States,Exact city/rink not verified.,
Colorado Gold Speedskating,CGS,26,18,club_table,Colorado Gold Speedskating,,CO,United States,Exact city/rink not verified.,
Full Throttle Speedskating,FTSST,19,22,club_table,Full Throttle Speedskating,,IN,United States,US Speedskating directory places this club in Indiana; exact city not verified.,
Madison Speed Skating Club,MSSC,0,39,club_table,Madison Speed Skating Club,Madison,WI,United States,,
Northern California Speed Skating Association,NCSSA,19,19,club_table,Northern California Speed Skating Association,,CA,United States,Regional club; exact home rink not verified.,
USA-ASSC,ASSC,16,17,club_table,Alaska Speedskating Club,Anchorage,AK,United States,,Likely duplicate if ALSC is present: Alaska Speedskating Club.
EVD Speed Skating Club,EVD,0,32,club_table,Evergrande Speed Skating,,,China,Location not verified.,
PNIC,PNIC,10,12,club_table,Pettit National Ice Center,West Allis,WI,United States,,Duplicate abbreviation appears for PNIC and Pettit National Ice Center.
Wolverine Sports Club,WOLV,0,21,club_table,Wolverine Sports Club,Detroit / Ann Arbor,MI,United States,Regional club; exact rink not verified.,
Pittsburgh Speedskating Club,PITTSSC,0,19,club_table,Pittsburgh Speedskating Club,Pittsburgh,PA,United States,,
Franklin Park Speedskating Club,FPSSC,0,18,club_table,Franklin Park Speedskating Club,Franklin Park,IL,United States,,Likely duplicate if FPS is present: Franklin Park Speedskating Club.
Rochester Speed Skating Team,RSST,9,7,club_table,Rochester Speed Skating Team,Rochester,NY,United States,,
Park City Speed Skating,PCSC,11,3,club_table,Park City Speed Skating,Park City,UT,United States,,
Los Angeles Regional Speedskating Club,LARSC,0,13,club_table,Los Angeles Regional Speedskating Club,Los Angeles,CA,United States,,
West Michigan Speedskating Club,WRSC,0,12,club_table,West Michigan Speedskating,Grand Rapids,MI,United States,,Likely duplicate if WMSSC is present: West Michigan Speedskating.
Great Atlantic Speedskating Club,GASSC,7,4,club_table,Great Atlantic Speedskating Club,Portland,ME,United States,,
Dominion Speed Skating Club,BSSC,0,10,club_table,Dominion Speedskating Club,,VA,United States,Exact city/rink not verified.,
KOR,KOR,2,5,club_table,South Korea,,,South Korea,"Country/team code row, not a club.",
USA-UVSC,UVSC,6,0,club_table,Upper Valley Speed Skating Club,Lebanon,NH,United States,,Likely duplicate of UVSSC: Upper Valley Speed Skating Club.
Milton Speedskating Club,MILT,0,6,club_table,Milton Speedskating Club,Milton,ON,Canada,,
USA-CSSC,CSSC,0,5,club_table,Connecticut Speedskating,,CT,United States,Exact city/rink not verified.,Duplicate abbreviation appears for Connecticut Speedskating and USA-CSSC.
USA-TSSC,TSSC,4,1,club_table,Timpanogos Speed Skating,Provo / Orem,UT,United States,,Likely duplicate of TIMP/TSJS: Timpanogos Speed Skating.
Taconic Speedskating,TACO,0,5,club_table,Taconic Speedskating,,NY,United States,Regional club; exact home rink not verified.,
Upper Valley Speed Skating,UVSSC,0,5,club_table,Upper Valley Speed Skating Club,Lebanon,NH,United States,,Likely duplicate of UVSC: Upper Valley Speed Skating Club.
St. Lawrence Speedskating,STLSSC,0,5,club_table,St. Lawrence Speedskating,Canton,NY,United States,,
Timpanogos Speed Skating,TIMP,0,4,club_table,Timpanogos Speed Skating,Provo / Orem,UT,United States,,Likely duplicate of TSSC/TSJS: Timpanogos Speed Skating.
Jefferson City Speed Skating,JEFF,0,4,club_table,Jefferson City Speedskating,Jefferson City,MO,United States,,Likely duplicate if JCS is present: Jefferson City Speedskating.
Pettit National Ice Center,PNIC,0,3,club_table,Pettit National Ice Center,West Allis,WI,United States,,Duplicate abbreviation appears for PNIC and Pettit National Ice Center.
Phoenix Speed Skating,PHXSSC,0,3,club_table,Phoenix Speedskating Club,Phoenix,AZ,United States,,Likely duplicate if PHSSC is present: Phoenix Speedskating Club.
Meteor Speed Skating Club,METE,0,3,club_table,Meteor Speed Skating Club,North York / Thornhill / Scarborough,ON,Canada,Ontario Speed Skating and club site list multiple Toronto-area rinks.,
Beijing Xingruibingxue Club,BXSC,0,3,club_table,Beijing Xingruibingxue Club,Beijing,,China,,
Markham Speed Skating Club,MARK,0,3,club_table,Markham Speed Skating Club,Markham,ON,Canada,,
Santa Clarita Speed Skating,SCSSC2,0,3,club_table,Santa Clarita Speed Skating,Santa Clarita,CA,United States,,
Australia,AUS,2,0,club_table,Australia,,,Australia,"Country/team code row, not a club.",Duplicate country code/name appears in both csv/table and db-only rows.
Switzerland,SUI,1,1,club_table,Switzerland,,,Switzerland,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
Germany,GER,1,1,club_table,Germany,,,Germany,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
Cornerstone Speedskating Club,CRSSC,0,2,club_table,Cornerstone Skating Club,De Pere,WI,United States,,
USA-GWSS,GWSS,0,1,club_table,Gateway Speedskating Club,St. Louis,MO,United States,,Likely duplicate of Gateway Speedskating Club row using GMS/GWSS.
Chinese Taipei,TPE,1,0,club_table,Chinese Taipei,,,Chinese Taipei,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
Colombia,COL,1,0,club_table,Colombia,,,Colombia,"Country/team code row, not a club.",Duplicate country code/name appears as Colombia/COL.
Great Britain,GBR,1,0,club_table,Great Britain,,,Great Britain,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
Mile High Speedskating Club,MHSSC,1,0,club_table,Mile High Speedskating Club,Denver,CO,United States,,
Michigan Speedskating,MICH,0,1,club_table,Michigan Speedskating,,MI,United States,Exact city/rink not verified.,
Richmond Rockets Speed Skating,RRSC,0,1,club_table,Richmond Rockets Speed Skating,Richmond,BC,Canada,,
Oakville Speed Skating Club,OASC,0,1,club_table,Oakville Speed Skating Club,Oakville,ON,Canada,,
Illini Speed Skating,ILLINI,0,1,club_table,Illini Speed Skating,Champaign / Urbana,IL,United States,,
FAST Program,FASTP,0,1,club_table,FAST Program,,,United States,Program location not verified.,
Canada,CAN,0,0,club_table,Canada,,,Canada,"Country/team code row, not a club.",Duplicate country code/name appears as Canada/CAN.
USA-OSC,OSC,0,0,club_table,Oval Speed Skating Club,Roseville,MN,United States,,Duplicate abbreviation appears for Oval Speed Skating Club and USA-OSC.
,WOSC,26,0,csv_only,Whatcom Speed Skating Club,Bellingham,WA,United States,,
,FPS,23,0,csv_only,Franklin Park Speedskating Club,Franklin Park,IL,United States,,Likely duplicate of FPSSC: Franklin Park Speedskating Club.
,EBSSC,21,0,csv_only,Elmbrook Speedskating Club,Brookfield,WI,United States,,Likely duplicate of ESSC: Elmbrook Speedskating Club.
,MWSS,14,0,csv_only,Midway Speedskating Club,St. Paul / Roseville,MN,United States,,Likely duplicate of MSC: Midway Speedskating Club.
,WMSSC,11,0,csv_only,West Michigan Speedskating,Grand Rapids,MI,United States,,Likely duplicate of WRSC: West Michigan Speedskating.
,PHSSC,10,0,csv_only,Phoenix Speedskating Club,Phoenix,AZ,United States,,Likely duplicate of PHXSSC: Phoenix Speedskating Club.
,CSSSC,5,0,csv_only,CSSSC,,,,Location not verified.,
,TSJS,5,0,csv_only,Timpanogos Speed Skating,Provo / Orem,UT,United States,,Likely duplicate of TSSC/TIMP: Timpanogos Speed Skating.
,ALSC,3,0,csv_only,Alaska Speedskating Club,Anchorage,AK,United States,,Likely duplicate of USA-ASSC/ASSC: Alaska Speedskating Club.
,CWSSC,3,0,csv_only,Central Wisconsin Speed Skating Club,,WI,United States,Exact city not verified.,
,TCSSC,2,0,csv_only,Twin Cities Speedskating,Minneapolis / St. Paul,MN,United States,,"Likely duplicate of TCL/Twin Cities Speedskating, if TCL is a club code."
,JCS,2,0,csv_only,Jefferson City Speedskating,Jefferson City,MO,United States,,Likely duplicate of JEFF: Jefferson City Speedskating.
,BRA,1,0,csv_only,Brazil,,,Brazil,"Country/team code row, not a club.",Duplicate country code/name appears in both csv-only and db-only rows.
,AZIS,1,0,csv_only,Arizona Inline Skating Association,,AZ,United States,Inline skating organization; exact city not verified.,
,PSS,1,0,csv_only,Puget Sound Speedskating Club,Tacoma / Seattle,WA,United States,Regional club; exact home rink not verified.,Likely duplicate of Puget Sound rows using PSSP/PSSSC or PSSC.
CAN,,0,72,db_only,Canada,,,Canada,"Country/team code row, not a club.",Duplicate country code/name appears as Canada/CAN.
Direct,,0,70,db_only,Direct / Unaffiliated,,,,"Unaffiliated skater/team row, not a club location.",Duplicate of Direct (Unaffiliated) / DIRECT.
NOR,,0,28,db_only,Norway,,,Norway,"Country/team code row, not a club.",
POL,,0,24,db_only,Poland,,,Poland,"Country/team code row, not a club.",
CHN,,0,23,db_only,China,,,China,"Country/team code row, not a club.",
KAZ,,0,19,db_only,Kazakhstan,,,Kazakhstan,"Country/team code row, not a club.",
ITA,,0,19,db_only,Italy,,,Italy,"Country/team code row, not a club.",
COL,,0,19,db_only,Colombia,,,Colombia,"Country/team code row, not a club.",Duplicate country code/name appears as Colombia/COL.
GER,,0,17,db_only,Germany,,,Germany,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
TPE,,0,14,db_only,Chinese Taipei,,,Chinese Taipei,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
SUI,,0,12,db_only,Switzerland,,,Switzerland,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
DEN,,0,10,db_only,Denmark,,,Denmark,"Country/team code row, not a club.",
RRK,,0,9,db_only,Richmond Rockets Speed Skating Club,Richmond,BC,Canada,,
LTSS,,0,9,db_only,Learn to Speed Skate,,,,Program label; location not verified.,
GBR,,0,9,db_only,Great Britain,,,Great Britain,"Country/team code row, not a club.",Duplicate country code/name appears in both table and db-only rows.
ESP,,0,9,db_only,Spain,,,Spain,"Country/team code row, not a club.",
CZE,,0,9,db_only,Czech Republic,,,Czech Republic,"Country/team code row, not a club.",
CAN-MRSSC,,0,9,db_only,Maple Ridge Speed Skating Club,Maple Ridge,BC,Canada,,
PSSC,,0,8,db_only,Puget Sound Speedskating Club,Tacoma / Seattle,WA,United States,Regional club; exact home rink not verified.,Likely duplicate of Puget Sound row using PSSP/PSSSC.
POCO,,0,8,db_only,Poco Lightning Speed Skating Club,Port Coquitlam,BC,Canada,,
POC,,0,8,db_only,Poco Lightning Speed Skating Club,Port Coquitlam,BC,Canada,,
BRA,,0,8,db_only,Brazil,,,Brazil,"Country/team code row, not a club.",Duplicate country code/name appears in both csv-only and db-only rows.
AUS,,0,8,db_only,Australia,,,Australia,"Country/team code row, not a club.",Duplicate country code/name appears in both csv/table and db-only rows.
HUN,,0,7,db_only,Hungary,,,Hungary,"Country/team code row, not a club.",
FIN,,0,7,db_only,Finland,,,Finland,"Country/team code row, not a club.",
Alkmaar,,0,7,db_only,Alkmaar,Alkmaar,,Netherlands,"City/team label, not necessarily a club.",
PCSSC,,0,6,db_only,Park City Speed Skating,Park City,UT,United States,,
NCA,,0,6,db_only,Northern California Speed Skating Association,,CA,United States,Regional club; exact home rink not verified.,
CAN-NMSSC,,0,6,db_only,Newmarket Speed Skating Club,Newmarket,ON,Canada,,
ARIZONA,,0,6,db_only,Arizona,,AZ,United States,"State/team label, not necessarily a club.",
VNC,,0,5,db_only,Vancouver Speed Skating Club,Vancouver,BC,Canada,,
TCL,,0,5,db_only,Twin Cities Speedskating,Minneapolis / St. Paul,MN,United States,,Possible duplicate of TCSSC/Twin Cities Speedskating.
MTV,,0,5,db_only,Mountain View Speedskating,,BC,Canada,Exact city not verified.,
Innsbruck,,0,5,db_only,Innsbruck,Innsbruck,Tyrol,Austria,"City/team label, not necessarily a club.",
CAN-NSSC,,0,5,db_only,Nepean Speed Skating Club,Ottawa / Nepean,ON,Canada,,
NZL,,0,4,db_only,New Zealand,,,New Zealand,"Country/team code row, not a club.",
IND,,0,4,db_only,India,,,India,"Country/team code row, not a club.",
Changbaishan,,0,4,db_only,Changbaishan,Changbaishan,Jilin,China,"City/team label, not necessarily a club.",
CHI,,0,4,db_only,Chile,,,Chile,"Country/team code row, not a club.",
BEL,,0,4,db_only,Belgium,,,Belgium,"Country/team code row, not a club.",
AUT,,0,4,db_only,Austria,,,Austria,"Country/team code row, not a club.",
WTC,,0,3,db_only,Whatcom Speed Skating Club,Bellingham,WA,United States,,
SRF,,0,3,db_only,Sardis Fliers Speed Skating Club,Chilliwack,BC,Canada,,
SGP,,0,3,db_only,Singapore,,,Singapore,"Country/team code row, not a club.",
Roseville,,0,3,db_only,Roseville Learn to Speed Skate,Roseville,MN,United States,,
ROU,,0,3,db_only,Romania,,,Romania,"Country/team code row, not a club.",
L2SS,,0,3,db_only,L2 Speed Skating,,,,Location not verified.,
DASH,,0,3,db_only,DASH Speedskating / The DASH Project,,,United States,Program location not verified.,
BUR,,0,3,db_only,Burnaby Speed Skating Club,Burnaby,BC,Canada,,
Arizona,,0,3,db_only,Arizona,,AZ,United States,"State/team label, not necessarily a club.",
ARG,,0,3,db_only,Argentina,,,Argentina,"Country/team code row, not a club.",
VSSC,,0,2,db_only,Vancouver Speed Skating Club,Vancouver,BC,Canada,,
UZB,,0,2,db_only,Uzbekistan,,,Uzbekistan,"Country/team code row, not a club.",
London,,0,2,db_only,London,London,ON,Canada,Likely Ontario speed skating city/team label; not necessarily a club.,
EST,,0,2,db_only,Estonia,,,Estonia,"Country/team code row, not a club.",
Cambridge,,0,2,db_only,Cambridge,Cambridge,ON,Canada,"City/team label, not necessarily a club.",
CAN-LSSC,,0,2,db_only,London Speed Skating Club,London,ON,Canada,,
UK,,0,1,db_only,United Kingdom,,,United Kingdom,"Country/team code row, not a club.",
SWE,,0,1,db_only,Sweden,,,Sweden,"Country/team code row, not a club.",
SVK,,0,1,db_only,Slovakia,,,Slovakia,"Country/team code row, not a club.",
Regional Speedskating Club,,0,1,db_only,Regional Speedskating Club,,,,Generic/ambiguous club label; location not verified.,
PNV,,0,1,db_only,Peninsula Speed Skating Club,Victoria / Sidney,BC,Canada,Exact city not verified.,
PHI,,0,1,db_only,Philippines,,,Philippines,"Country/team code row, not a club.",
PCSM,,0,1,db_only,PC Speedskating,Park City,UT,United States,Likely Park City Speed Skating abbreviation/variant.,
PCSK,,0,1,db_only,PC Speedskating,Park City,UT,United States,Likely Park City Speed Skating abbreviation/variant.,
PC Speedskating,,0,1,db_only,PC Speedskating,Park City,UT,United States,Likely Park City Speed Skating abbreviation/variant.,
Oregon,,0,1,db_only,Oregon,,OR,United States,"State/team label, not necessarily a club.",
NED,,0,1,db_only,Netherlands,,,Netherlands,"Country/team code row, not a club.",
MTB,,0,1,db_only,Matsqui Blades Speed Skating Club,Abbotsford,BC,Canada,,
Lake Placid,,0,1,db_only,Lake Placid Speed Skating Club,Lake Placid,NY,United States,,
INA,,0,1,db_only,Indonesia,,,Indonesia,"Country/team code row, not a club.",
HKG,,0,1,db_only,Hong Kong,,,Hong Kong,"Country/team code row, not a club.",
HK,,0,1,db_only,Hong Kong,,,Hong Kong,"Country/team code row, not a club.",
GRE,,0,1,db_only,Greece,,,Greece,"Country/team code row, not a club.",
GASC,,0,1,db_only,Great Atlantic Speedskating Club,Portland,ME,United States,,
ECU,,0,1,db_only,Ecuador,,,Ecuador,"Country/team code row, not a club.",
CHE,,0,1,db_only,Switzerland,,,Switzerland,"Country/team code row, not a club.",
CAN-YSSC,,0,1,db_only,Yukon Speed Skating Club,Whitehorse,YT,Canada,,
CAN-OSSC,,0,1,db_only,Ottawa Speed Skating Club,Ottawa,ON,Canada,,
CAN-CPVMG,,0,1,db_only,CPV Montreal-Gadbois,Montreal,QC,Canada,,
AZUT,,0,1,db_only,AZUT,,AZ / UT,United States,Ambiguous Arizona/Utah-style code; exact club not verified.,
ANG,,0,1,db_only,Langley Blades Speed Skating Club,Langley,BC,Canada,,
