club_name,skater_count
Ellyn SSC,1
Ellyn Speed Skating Club,1
Elmbrook 0:42.850,1
Elmbrook Speed Skating Club,1
Elmbrook Speedskating Club,1
Evergrande,1
FAST Program,1
Flushing,1
Franklin Park Speed Skating Club,1
Fresh Medow,1
Full Throttle Speed Skating,1
GASC,1
GBR 2:14.301,1
GBR 2:15.792,1
GBR 2:17.980,1
GBR 2:32.234,1
GBR 2:33.097,1
GBR 2:36.503,1
GBR 2:46.668,1
Garden State Speedskating 1:51.610,1
Garden State Speedskating 1:58.040,1
Great Atlantic Speedskating 1:52.670,1
HUN,1
HUN-FTC,1
Heights Speedskating,1
INA 2:46.979,1
IND,1
Illini Speed,1
KOR,1
Kyle Flushing Meadows,1
Lakewood 0:54.520,1
Lakewood 1:03.070,1
Lakewood 1:03.700,1
Lakewood 1:05.010,1
Lakewood 1:13.260,1
Lakewood 1:45.820,1
Lakewood 1:59.080,1
Lakewood 2:07.200,1
Lakewood 2:07.370,1
Lakewood 2:13.020,1
Lakewood SPeedskating,1
MSR,1
MSSC,1
Madison 1:31.280,1
Madison SSC,1
Madison Sppedskating,1
Meteor Speed Skating Club,1
Michigan Speedskating,1
Midway,1
Mixed 2:13.400,1
Mixed 2:15.980,1
Mixed 2:26.980,1
Mixed 3:34.360,1
Mixed 3:37.100,1
Mixed 3:41.600,1
Mixed 3:48.860,1
Mixed 3:55.470,1
Mixed 3:58.420,1
Mixed 4:02.750,1
Mixed 4:03.450,1
Mixed 4:16.260,1
Mixed 5:08.860,1
Mixed 5:20.750,1
NZL,1
Northbrook 1:44.100,1
Northbrook 1:58.180,1
Northbrook Speedskating Club,1
Northbrook speedskating club,1
OSSC 1:17.498,1
Oakville,1
Oval,1
Oval Learn to Speed,1
Oval Learn to Speed 0:59.046,1
Oval Speedskating,1
PC Speedskating,1
PNV,1
Park Speed Skating Club,1
Park Speedskating Club,1
Paul Cleveland Heights,1
Penn Speedskating,1
Pinnacle Speedskating Program,1
Pittsburgh Speedskating Club,1
Potomac Speedskating Club,1
Regional Speedskating Club,1
Richmond Rockets,1
SGP 2:41.215,1
SGP 2:42.036,1
SGP 2:55.333,1
SRF,1
ST,1
SWITZERLAND,1
Saratoga Winter,1
Saratoga Winter Club 0:36.250,1
Sppedskating,1
TPE 1:20.979,1
TPE 1:32.074,1
TPE 2:24.680,1
TPE 2:35.807,1
TPE 2:38.006,1
TPE 2:38.600,1
TPE 2:41.114,1
TPE 2:44.258,1
TPE 2:47.477,1
Throttle Speed Skating,1
Throttle Speedskating,1
Trottle,1
UCB,1
UK,1
USA-CGS,1
USA-GASSC,1
USA-GER,1
USA-MHSSC,1
USA-MSC,1
USA-NCS,1
USA-NCSSA,1
UV,1
United Capital,1
WSSC 1:27.260,1
West Michigan Speedskating,1
Winter,1
Winter Club,1
heights,1
speedskating club,1
